ID,pop,pop2,DBH,sNMF_V1,sNMF_V2,sNMF_V3,sNMF_V4,sNMF_V5,Grafted?,2spec_struc_oc_prop,2spec_struc_swo_prop,2spec_snmf_oc_prop,2spec_snmf_swo_prop
sample_97,CORE-IN2,CORE,11.7,0.0152384,1.00E-04,1.00E-04,0.983746,0.000815787,,0.001,0.999,0.0001,0.9999
sample_98,CORE-IN2,CORE,30.5,0.00393177,0.00962997,0.00209538,0.982321,0.00202191,,0.002,0.998,0.0100024,0.989998
sample_99,CORE-IN2,CORE,27.7,0.00562019,0.017229,1.00E-04,0.972015,0.00503624,,0.001,0.999,0.0001,0.9999
sample_100,CORE-IN2,CORE,9.7,0.00373955,1.00E-04,0.00195158,0.994109,1.00E-04,,0.003,0.997,0.0001,0.9999
sample_101,CORE-IN3,CORE,21.7,0.0152173,1.00E-04,0.00808068,0.976502,1.00E-04,,0.002,0.998,0.0001,0.9999
sample_102,CORE-IN3,CORE,29.1,1.00E-04,1.00E-04,1.00E-04,0.9996,1.00E-04,,0.002,0.998,0.0001,0.9999
sample_103,CORE-IN3,CORE,10.7,0.00323427,0.0289563,0.00365899,0.96405,1.00E-04,,0.011,0.989,0.0113257,0.988674
sample_104,CORE-IN3,CORE,29,0.0149938,1.00E-04,1.00E-04,0.984706,1.00E-04,,0.003,0.997,0.0271993,0.972801
sample_105,CORE-IN3,CORE,32.7,0.0143589,1.00E-04,1.00E-04,0.978319,0.00712216,,0.002,0.998,0.0001,0.9999
sample_106,CORE-IN3,CORE,44.5,0.0131458,1.00E-04,1.00E-04,0.986554,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_107,CORE-IN3,CORE,8.2,0.0113595,1.00E-04,0.00329817,0.985142,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_108,CORE-IN3,CORE,6.3,0.0262558,1.00E-04,1.00E-04,0.967592,0.00595237,,0.001,0.999,0.0001,0.9999
sample_109,CORE-IN4,CORE,32,1.00E-04,0.0245682,1.00E-04,0.975132,1.00E-04,,0.009,0.991,0.0212195,0.97878
sample_110,CORE-IN4,CORE,40,1.00E-04,0.00273542,1.00E-04,0.989503,0.00756156,,0.004,0.996,0.0001,0.9999
sample_111,CORE-IN4,CORE,30,0.016242,1.00E-04,1.00E-04,0.981875,0.00168355,,0.002,0.998,0.0001,0.9999
sample_112,CORE-IN4,CORE,20,1.00E-04,1.00E-04,0.0145333,0.978217,0.00704952,,0.007,0.993,0.0140826,0.985917
sample_113,CORE-IN4,CORE,20.8,0.0022019,0.00489106,1.00E-04,0.992707,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_115,CORE-IN4,CORE,23.9,1.00E-04,0.0219323,0.00587144,0.971996,1.00E-04,,0.005,0.995,0.0185495,0.981451
sample_116,CORE-IN4,CORE,14,1.00E-04,0.0294055,0.0032511,0.962999,0.00424431,,0.004,0.996,0.0061638,0.993836
sample_117,CORE-OH1,CORE,46,1.00E-04,0.0205905,0.00119209,0.978017,1.00E-04,,0.006,0.994,0.0001,0.9999
sample_118,CORE-OH1,CORE,32,0.0106675,0.00506618,0.0023611,0.981805,1.00E-04,,0.007,0.993,0.0125194,0.987481
sample_119,CORE-IN5,CORE,39.8,1.00E-04,1.00E-04,1.00E-04,0.9996,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_120,CORE-IN5,CORE,31.4,1.00E-04,1.00E-04,0.00485526,0.994845,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_121,CORE-IN5,CORE,14.3,0.0164564,0.0127757,0.0211199,0.94322,0.00642805,,0.001,0.999,0.0001,0.9999
sample_122,CORE-IN5,CORE,47,1.00E-04,1.00E-04,0.00900188,0.990698,1.00E-04,,0,1,0.0001,0.9999
sample_123,CORE-IN5,CORE,16.2,0.0068131,1.00E-04,0.00624083,0.986746,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_124,CORE-IN5,CORE,13.1,1.00E-04,1.00E-04,1.00E-04,0.9996,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_125,CORE-IN5,CORE,10.8,0.00578127,0.0022136,0.00535029,0.986555,1.00E-04,,0.002,0.998,0.0001,0.9999
sample_126,CORE-IN5,CORE,10.6,1.00E-04,1.00E-04,0.00178816,0.997912,1.00E-04,,0.001,0.999,0.0001,0.9999
sample_127,CORE-MI1,CORE,62,0.0105513,1.00E-04,0.0010307,0.988218,1.00E-04,,0.002,0.998,0.0001,0.9999
sample_128,CORE-MI1,CORE,34,0.0013731,0.0111807,1.00E-04,0.987246,1.00E-04,,0.003,0.997,0.0001,0.9999
sample_129,CORE-MI1,CORE,29,0.022079,0.0252687,1.00E-04,0.946126,0.00642621,,0.016,0.984,0.0248683,0.975132
sample_130,CORE-MI1,CORE,13.6,1.00E-04,1.00E-04,1.00E-04,0.997366,0.00233453,,0.001,0.999,0.0001,0.9999
sample_131,CORE-MI1,CORE,11,1.00E-04,1.00E-04,1.00E-04,0.998421,0.00127924,,0.001,0.999,0.0001,0.9999
